model_split,model_acc
1,0.24324324324324326
2,0.6891891891891891
3,0.7027027027027027
4,0.6081081081081081
5,0.6216216216216216
6,0.6756756756756757
7,0.3918918918918919
8,0.7297297297297297
9,0.7432432432432432
10,0.7432432432432432
11,0.7162162162162162
12,0.7972972972972973
13,0.7567567567567568
14,0.7972972972972973
