round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,last_activation,losses,lr,neuron_tuple,optimizer
100,20.556545969602222,0.6216216087341309,0.0977851657686059,0.94949496,<function relu at 0x7f266b967bf8>,8,0.2,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,[25, 20],<class 'keras.optimizers.Nadam'>
200,21.425926973489492,0.5675675868988037,0.1381408050770235,0.959596,<function relu at 0x7f266b967bf8>,5,0.2,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,[20],<class 'keras.optimizers.Adam'>
200,20.77280072908144,0.5945945978164673,0.013074643149262887,1.0,<function elu at 0x7f266b9679d8>,8,0.0,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,[25, 20],<class 'keras.optimizers.Nadam'>
200,21.606414662825095,0.5945945978164673,0.05697715056194651,0.97979796,<function relu at 0x7f266b967bf8>,8,0.1,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.32,[50, 25, 20],<class 'keras.optimizers.Adam'>
200,35.372280526719656,0.5540540814399719,0.020525237394097513,0.97979796,<function relu at 0x7f266b967bf8>,4,0.0,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,[50, 25, 20],<class 'keras.optimizers.Nadam'>
200,13.346875719121984,0.5945945978164673,0.01682790843863981,1.0,<function elu at 0x7f266b9679d8>,8,0.0,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.05,[50, 25, 20],<class 'keras.optimizers.Adam'>
100,18.475401781186324,0.5810810923576355,0.06464468508887086,0.97979796,<function elu at 0x7f266b9679d8>,4,0.2,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.14,[25, 20],<class 'keras.optimizers.Nadam'>
200,17.804553011784684,0.5405405163764954,0.5469709532335401,0.8080808,<function relu at 0x7f266b967bf8>,9,0.30000000000000004,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.05,[20],<class 'keras.optimizers.Nadam'>
200,27.24837658568576,0.5810810923576355,0.022089883256877798,0.989899,<function elu at 0x7f266b9679d8>,6,0.30000000000000004,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.41000000000000003,[25, 20],<class 'keras.optimizers.Nadam'>
100,19.972380814873155,0.5405405163764954,0.02874411281479614,0.989899,<function elu at 0x7f266b9679d8>,3,0.4,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.32,[25, 20],<class 'keras.optimizers.Nadam'>
