round_epochs,loss,acc,activation,batch_size,dropout,epochs,last_activation,losses,lr,neuron_tuple,optimizer
100,0.28309166340724284,0.742029,<function elu at 0x7f310a59fa60>,9,0.4,100,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.41000000000000003,[20],<class 'keras.optimizers.RMSprop'>
100,3.3154638331869375,0.13043478,<function elu at 0x7f310a59fa60>,6,0.4,100,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.05,[25, 20],<class 'keras.optimizers.Adam'>
200,0.1682871846077235,0.75652176,<function relu at 0x7f310a59fc80>,3,0.30000000000000004,200,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.23000000000000004,[50, 25, 20],<class 'keras.optimizers.Nadam'>
100,0.14496181885192197,0.7014493,<function relu at 0x7f310a59fc80>,2,0.0,100,<function linear at 0x7f310a59ff28>,<function mean_squared_error at 0x7f310a773268>,0.05,[20],<class 'keras.optimizers.RMSprop'>
200,0.4141225894292196,0.5275362,<function relu at 0x7f310a59fc80>,8,0.4,200,<function linear at 0x7f310a59ff28>,<function mean_squared_error at 0x7f310a773268>,0.41000000000000003,[20],<class 'keras.optimizers.Adam'>
200,0.7509178613191065,0.60289854,<function elu at 0x7f310a59fa60>,5,0.2,200,<function linear at 0x7f310a59ff28>,<function mean_squared_error at 0x7f310a773268>,0.23000000000000004,[25, 20],<class 'keras.optimizers.Adam'>
100,0.262770256270533,0.73913044,<function elu at 0x7f310a59fa60>,3,0.30000000000000004,100,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.32,[20],<class 'keras.optimizers.Adam'>
100,0.6410938567009525,0.71304345,<function relu at 0x7f310a59fc80>,8,0.30000000000000004,100,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.14,[20],<class 'keras.optimizers.Nadam'>
200,13.865221269752668,0.17101449,<function elu at 0x7f310a59fa60>,8,0.2,200,<function linear at 0x7f310a59ff28>,<function mean_squared_error at 0x7f310a773268>,0.14,[20],<class 'keras.optimizers.Adam'>
100,0.361264739693075,0.6724638,<function elu at 0x7f310a59fa60>,2,0.1,100,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.14,[20],<class 'keras.optimizers.RMSprop'>
100,0.16605879120204758,0.7594203,<function relu at 0x7f310a59fc80>,2,0.4,100,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.14,[25, 20],<class 'keras.optimizers.Nadam'>
200,0.16540182967116868,0.7594203,<function relu at 0x7f310a59fc80>,8,0.1,200,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.23000000000000004,[50, 25, 20],<class 'keras.optimizers.Nadam'>
100,5.429687825493191,0.07536232,<function relu at 0x7f310a59fc80>,9,0.4,100,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.05,[25, 20],<class 'keras.optimizers.RMSprop'>
100,0.10394965497898342,0.7710145,<function relu at 0x7f310a59fc80>,3,0.2,100,<function linear at 0x7f310a59ff28>,<function mean_squared_error at 0x7f310a773268>,0.41000000000000003,[20],<class 'keras.optimizers.Nadam'>
100,643.9616352468297,0.03768116,<function elu at 0x7f310a59fa60>,8,0.4,100,<function linear at 0x7f310a59ff28>,<function mean_squared_error at 0x7f310a773268>,0.05,[20],<class 'keras.optimizers.Nadam'>
200,31.941626983621845,0.17391305,<function relu at 0x7f310a59fc80>,9,0.30000000000000004,200,<function linear at 0x7f310a59ff28>,<function mean_squared_error at 0x7f310a773268>,0.14,[25, 20],<class 'keras.optimizers.Adam'>
100,8.371331297120323,0.17391305,<function elu at 0x7f310a59fa60>,3,0.4,100,<function linear at 0x7f310a59ff28>,<function mean_squared_error at 0x7f310a773268>,0.23000000000000004,[20],<class 'keras.optimizers.Adam'>
200,0.5541884893092557,0.6173913,<function elu at 0x7f310a59fa60>,2,0.1,200,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.05,[25, 20],<class 'keras.optimizers.RMSprop'>
100,7.513094375444495,0.06666667,<function elu at 0x7f310a59fa60>,9,0.30000000000000004,100,<function linear at 0x7f310a59ff28>,<function mean_absolute_error at 0x7f310a64e6a8>,0.05,[25, 20],<class 'keras.optimizers.RMSprop'>
100,24.88811591569928,0.13333334,<function relu at 0x7f310a59fc80>,7,0.30000000000000004,100,<function linear at 0x7f310a59ff28>,<function mean_squared_error at 0x7f310a773268>,0.41000000000000003,[20],<class 'keras.optimizers.Adam'>
100,1.0287397201510444,0.34492755,<function relu at 0x7f310a59fc80>,7,0.30000000000000004,100,<function linear at 0x7f310a59ff28>,<function mean_squared_error at 0x7f310a773268>,0.32,[25, 20],<class 'keras.optimizers.Nadam'>
